"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"SPICEMODEL";"SPICEPREFIX";
"1";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0";"R-US_R0402";"R0402";"R2";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27";"0.1uF";"CC0402";"C0402";"C2, C3, C4, C5, C7, C9, C10, C11, C12, C17, C18, C19, C20, C21, C24, C27, C28, C29, C30, C31, C32, C33, C35, C38, C41, C44, C45";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";
"1";"0.1uF";"CC0603";"C0603";"C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";
"1";"10";"R-US_R0402";"R0402";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1000pF";"CC0402";"C0402";"C42";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";
"2";"10pF";"CC0402";"C0402";"C43, C46";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";
"1";"10uF";"C";"C0805";"C40";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";
"1";"15";"R-US_R0402";"R0402";"R1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1k";"R-US_R0402";"R0402";"R4";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1k";"R-US_R0603";"R0603";"R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1k/8P4R";"4R-N0603-ARC";"0603-ARC";"RN1";"Array Chip Resistor";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"1uF";"CC0402";"C0402";"C37";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";
"1";"33";"R-US_R0402";"R0402";"R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"330";"R-US_R0402";"R0402";"R7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"370A_TU/CU";"370A_TU/CU";"370";"U$2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12";"4.7uF 10V";"C";"C0805";"C1, C6, C8, C13, C15, C16, C22, C23, C25, C26, C34, C36";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";
"1";"4.7uF 10V";"CC0603";"C0603";"C39";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";
"1";"470";"R-US_R0603";"R0603";"R8";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"NC7SZ32P5X";"NC7SZ32P5X";"SOT65P210X110-5N";"U3";"Two Input OR Gate";"Unavailable";" NC7SZ32 Series 5.5 V Surface Mount TinyLogic®UHS 2-Input OR Gate - SC-70-5 ";"";"";"ON Semiconductor";"NC7SZ32P5X";"";"";"";"SC-70 ON Semiconductor";"None";"";"";
"1";"NC7WZ07P6X";"NC7WZ07P6X";"SOT65P210X110-6N";"U4";"UHS Dual Buffer";"Unavailable";" NC7WZ07 Series 5.5 V TinyLogic UHS Dual Buffer _Open Drain Output_ - SC-70-6 ";"";"";"ON Semiconductor";"NC7WZ07P6X";"";"";"";"SC-70-6 ON Semiconductor";"None";"";"";
"2";"S2B-ZR-SM4A-TF(LF)(SN)";"S2B-ZR-SM4A-TF(LF)(SN)";"JST_S2B-ZR-SM4A-TF(LF)(SN)";"J1, J2";"ZH Series 2 Position 1.5 mm Pitch Surface Mount Side Entry Shrouded Header";"";" Connector Header Surface Mount, Right Angle 2 position 0.059 _1.50mm_ ";"455-1693-1-ND";"https://www.digikey.com/product-detail/en/jst-sales-america-inc/S2B-ZR-SM4A-TF_LF__SN_/455-1693-1-ND/926820?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"JST Sales";"S2B-ZR-SM4A-TF_LF__SN_";"";"";"";"None";"";"";"";
"1";"SG3030JC";"SG3030JC";"OSCL508P1050X250X270-4";"U2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"XBOX_CPU";"XBOX_CPU";"REVBGA495";"U$1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
